Code,Expiry Date,P/C,Exercise,Bid,Offer,Last,Open Interest
NCMM19,24/05/2018,Call,22.500,0.020,0.020,0.030,"3,131"
NCMM29,24/05/2018,Put,22.500,1.360,1.360,0.000,123
NCMSM7,24/05/2018,Call,22.510,0.020,0.020,0.000,460
NCMSN7,24/05/2018,Put,22.510,1.365,1.365,0.000,519
NCMMX9,24/05/2018,Call,23.000,0.006,0.006,0.000,"1,442"
NCMMY9,24/05/2018,Put,23.000,1.860,1.860,0.000,20
NCMSO7,24/05/2018,Call,23.010,0.006,0.006,0.000,53
NCMSP7,24/05/2018,Put,23.010,1.865,1.865,0.000,50
NCMM99,24/05/2018,Call,23.500,0.002,0.002,0.000,309
NCMMA9,24/05/2018,Put,23.500,2.360,2.360,0.000,0
NCMSQ7,24/05/2018,Call,23.510,0.002,0.002,0.000,0
NCMSR7,24/05/2018,Put,23.510,2.360,2.360,0.000,62
NCMMV9,24/05/2018,Call,24.000,0.000,0.000,0.000,76
NCMMW9,24/05/2018,Put,24.000,2.860,2.860,0.000,0
NCMRU8,24/05/2018,Call,24.010,0.000,0.000,0.000,0
NCMRV8,24/05/2018,Put,24.010,2.860,2.860,0.000,27
NCMMR9,24/05/2018,Call,24.500,0.000,0.000,0.000,25
NCMMS9,24/05/2018,Put,24.500,3.360,3.360,0.000,0
NCMN69,24/05/2018,Call,25.000,0.000,0.000,0.000,0
NCMN79,24/05/2018,Put,25.000,3.860,3.860,0.000,0
NCMML9,24/05/2018,Call,25.500,0.000,0.000,0.000,525
NCMMM9,24/05/2018,Put,25.500,4.360,4.360,0.000,0
NCMN49,24/05/2018,Call,26.000,0.000,0.000,0.000,0
NCMN59,24/05/2018,Put,26.000,4.860,4.860,0.000,0
NCMMN9,24/05/2018,Call,26.500,0.000,0.000,0.000,0
NCMMO9,24/05/2018,Put,26.500,5.360,5.360,0.000,0
NCMEM8,24/05/2018,Call,26.510,0.000,0.000,0.000,0
NCMEN8,24/05/2018,Put,26.510,5.360,5.360,0.000,46
